nama_faskes;jenis_faskes;provinsi;kota_kab;alamat;is_support_bpjs;link_maps;;;
RS Arun Lhokseumawe;Rumah Sakit Umum;Aceh;Kota Lhokseumawe;Jl. Plaju Komplek Perumahan PT Arun Batuphat Timur, Kec. Muara Satu;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Arun+Lhokseumawe+Kota+Lhokseumawe;;;
RS Umum Fandika;Rumah Sakit Umum;Aceh;Aceh Tengah;Jl. Terminal Simpang Wariji Blangkolak 1 Kec. Bebesen;TRUE;http://maps.google.co.id/?q=4.6741444,96.7343512;;;
RS Umum Daerah Meuraxa;Rumah Sakit Umum;Aceh;Kota Banda Aceh;Jl. Soekarno Hatta Km. 2 Desa Mibo Kecamatan Banda Raya;TRUE;http://maps.google.co.id/?q=5.51809,95.31804;;;
RS Gigi Mulut Universitas Syiah Kuala;Rumah Sakit Khusus Gigi dan Mulut;Aceh;Kota Banda Aceh;Jl. Prof A. Madjid Ibrahim I No. 5 Banda Aceh Kel. Punge Jurong;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Gigi+Mulut+Universitas+Syiah+Kuala+Kota+Banda+Aceh;;;
RS Umum Daerah Kota Subulussalam;Rumah Sakit Umum;Aceh;Kota Subulussalam;  Jl. Hamzah Fansyuri (Subulussalam-Rundeng) Kec. Simpang Kiri Kota Subulussalam Aceh 24782;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Kota+Subulussalam+Kota+Subulussalam;;;
RS Umum Daerah Datu Beru Takengon;Rumah Sakit Umum;Aceh;Aceh Tengah;Jl. Rumah Sakit No.153 Kec. Kebayakan ;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Datu+Beru+Takengon+Aceh+Tengah;;;
RS Umum Mufid;Rumah Sakit Umum;Aceh;Pidie;JL. PROF. A. MAJID IBRAHIM, NO. 62-66, KEC. KOTA SIGLI KABUPATEN PIDIE, ACEH;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Mufid+Pidie;;;
RS Umum Metro Medical Center;Rumah Sakit Umum;Aceh;Kota Lhokseumawe;Jl. Merdeka Barat No. 70 A, Kecamatan Muara Dua, Kota Lhokseumawe , Nanggroe Aceh Darussalam;TRUE;-;;;
RS Umum Daerah Muyang Kute Redelong Bener Meriah;Rumah Sakit Umum;Aceh;Bener Meriah;Jl. Simpang Teritit-Pondok Baru, Simpang Empat Kute Kering Redelong Kec. Bukit;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Umum+Daerah+Muyang+Kute+Redelong+Bener+Meriah+Bener+Meriah;;;
RS Gayo Medical Centre;Rumah Sakit Umum;Aceh;Aceh Tengah;Jl. Paya Tumpi-Mandale, No. 126  Kec. Kebayakan;FALSE;https://www.google.com/maps/search/?api=1&query=RS+Gayo+Medical+Centre+Aceh+Tengah;;;
